"Method","Threads","Attempt","Image","Time"
seam-carving,1,0,valve.png, 0.521735 s
seam-carving,1,1,valve.png, 0.523938 s
seam-carving,1,2,valve.png, 0.520641 s
seam-carving,1,3,valve.png, 0.513578 s
seam-carving,1,4,valve.png, 0.523323 s
seam-carving,1,0,720x480.png, 0.666169 s
seam-carving,1,1,720x480.png, 0.676344 s
seam-carving,1,2,720x480.png, 0.677157 s
seam-carving,1,3,720x480.png, 0.666696 s
seam-carving,1,4,720x480.png, 0.678640 s
seam-carving,1,0,7680x4320.png, 92.146194 s
seam-carving,1,1,7680x4320.png, 93.305778 s
seam-carving,1,2,7680x4320.png, 92.086540 s
seam-carving,1,3,7680x4320.png, 92.231043 s
seam-carving,1,4,7680x4320.png, 92.217855 s
seam-carving,1,0,1920x1200.png, 4.677599 s
seam-carving,1,1,1920x1200.png, 4.692008 s
seam-carving,1,2,1920x1200.png, 4.629074 s
seam-carving,1,3,1920x1200.png, 4.670364 s
seam-carving,1,4,1920x1200.png, 4.582622 s
seam-carving,1,0,1024x768.png, 1.612584 s
seam-carving,1,1,1024x768.png, 1.591230 s
seam-carving,1,2,1024x768.png, 1.611019 s
seam-carving,1,3,1024x768.png, 1.616611 s
seam-carving,1,4,1024x768.png, 1.703748 s
seam-carving,1,0,3840x2160.png, 21.018587 s
seam-carving,1,1,3840x2160.png, 21.731315 s
seam-carving,1,2,3840x2160.png, 21.691719 s
seam-carving,1,3,3840x2160.png, 21.565397 s
seam-carving,1,4,3840x2160.png, 21.773572 s
seam-carving,1,0,test.png, 0.489640 s
seam-carving,1,1,test.png, 0.485263 s
seam-carving,1,2,test.png, 0.484621 s
seam-carving,1,3,test.png, 0.492290 s
seam-carving,1,4,test.png, 0.490547 s
seam-carving-omp,1,0,valve.png, 0.999574 s
seam-carving-omp,1,1,valve.png, 0.992165 s
seam-carving-omp,1,2,valve.png, 0.992015 s
seam-carving-omp,1,3,valve.png, 0.974600 s
seam-carving-omp,1,4,valve.png, 0.983168 s
seam-carving-omp,1,0,720x480.png, 1.281232 s
seam-carving-omp,1,1,720x480.png, 1.287810 s
seam-carving-omp,1,2,720x480.png, 1.279829 s
seam-carving-omp,1,3,720x480.png, 1.283446 s
seam-carving-omp,1,4,720x480.png, 1.289061 s
seam-carving-omp,1,0,7680x4320.png, 156.573482 s
seam-carving-omp,1,1,7680x4320.png, 156.151100 s
seam-carving-omp,1,2,7680x4320.png, 156.273234 s
seam-carving-omp,1,3,7680x4320.png, 156.245714 s
seam-carving-omp,1,4,7680x4320.png, 156.661472 s
seam-carving-omp,1,0,1920x1200.png, 8.792016 s
seam-carving-omp,1,1,1920x1200.png, 8.796793 s
seam-carving-omp,1,2,1920x1200.png, 8.799944 s
seam-carving-omp,1,3,1920x1200.png, 8.790163 s
seam-carving-omp,1,4,1920x1200.png, 8.799168 s
seam-carving-omp,1,0,1024x768.png, 2.980668 s
seam-carving-omp,1,1,1024x768.png, 2.922273 s
seam-carving-omp,1,2,1024x768.png, 3.018514 s
seam-carving-omp,1,3,1024x768.png, 2.973454 s
seam-carving-omp,1,4,1024x768.png, 2.979388 s
seam-carving-omp,1,0,3840x2160.png, 36.212706 s
seam-carving-omp,1,1,3840x2160.png, 36.464974 s
seam-carving-omp,1,2,3840x2160.png, 36.230153 s
seam-carving-omp,1,3,3840x2160.png, 36.282400 s
seam-carving-omp,1,4,3840x2160.png, 36.207610 s
seam-carving-omp,1,0,test.png, 0.928839 s
seam-carving-omp,1,1,test.png, 0.916889 s
seam-carving-omp,1,2,test.png, 0.913827 s
seam-carving-omp,1,3,test.png, 0.945255 s
seam-carving-omp,1,4,test.png, 0.922123 s
seam-carving-omp,2,0,valve.png, 0.528293 s
seam-carving-omp,2,1,valve.png, 0.544345 s
seam-carving-omp,2,2,valve.png, 0.525552 s
seam-carving-omp,2,3,valve.png, 0.534837 s
seam-carving-omp,2,4,valve.png, 0.541685 s
seam-carving-omp,2,0,720x480.png, 0.684690 s
seam-carving-omp,2,1,720x480.png, 0.688490 s
seam-carving-omp,2,2,720x480.png, 0.680571 s
seam-carving-omp,2,3,720x480.png, 0.680179 s
seam-carving-omp,2,4,720x480.png, 0.665410 s
seam-carving-omp,2,0,7680x4320.png, 78.808808 s
seam-carving-omp,2,1,7680x4320.png, 78.865663 s
seam-carving-omp,2,2,7680x4320.png, 79.398742 s
seam-carving-omp,2,3,7680x4320.png, 79.117917 s
seam-carving-omp,2,4,7680x4320.png, 78.748279 s
seam-carving-omp,2,0,1920x1200.png, 4.494816 s
seam-carving-omp,2,1,1920x1200.png, 4.496229 s
seam-carving-omp,2,2,1920x1200.png, 4.506065 s
seam-carving-omp,2,3,1920x1200.png, 4.494684 s
seam-carving-omp,2,4,1920x1200.png, 4.504260 s
seam-carving-omp,2,0,1024x768.png, 1.565229 s
seam-carving-omp,2,1,1024x768.png, 1.558413 s
seam-carving-omp,2,2,1024x768.png, 1.552731 s
seam-carving-omp,2,3,1024x768.png, 1.558507 s
seam-carving-omp,2,4,1024x768.png, 1.521751 s
seam-carving-omp,2,0,3840x2160.png, 18.491179 s
seam-carving-omp,2,1,3840x2160.png, 18.486727 s
seam-carving-omp,2,2,3840x2160.png, 18.465023 s
seam-carving-omp,2,3,3840x2160.png, 18.594635 s
seam-carving-omp,2,4,3840x2160.png, 18.507939 s
seam-carving-omp,2,0,test.png, 0.503246 s
seam-carving-omp,2,1,test.png, 0.501885 s
seam-carving-omp,2,2,test.png, 0.516485 s
seam-carving-omp,2,3,test.png, 0.504911 s
seam-carving-omp,2,4,test.png, 0.509147 s
seam-carving-omp,4,0,valve.png, 0.299941 s
seam-carving-omp,4,1,valve.png, 0.299855 s
seam-carving-omp,4,2,valve.png, 0.298070 s
seam-carving-omp,4,3,valve.png, 0.299922 s
seam-carving-omp,4,4,valve.png, 0.299820 s
seam-carving-omp,4,0,720x480.png, 0.382040 s
seam-carving-omp,4,1,720x480.png, 0.377432 s
seam-carving-omp,4,2,720x480.png, 0.377663 s
seam-carving-omp,4,3,720x480.png, 0.380220 s
seam-carving-omp,4,4,720x480.png, 0.378596 s
seam-carving-omp,4,0,7680x4320.png, 40.725439 s
seam-carving-omp,4,1,7680x4320.png, 40.725158 s
seam-carving-omp,4,2,7680x4320.png, 40.746288 s
seam-carving-omp,4,3,7680x4320.png, 40.579636 s
seam-carving-omp,4,4,7680x4320.png, 40.497341 s
seam-carving-omp,4,0,1920x1200.png, 2.335571 s
seam-carving-omp,4,1,1920x1200.png, 2.364079 s
seam-carving-omp,4,2,1920x1200.png, 2.372162 s
seam-carving-omp,4,3,1920x1200.png, 2.367917 s
seam-carving-omp,4,4,1920x1200.png, 2.369051 s
seam-carving-omp,4,0,1024x768.png, 0.833043 s
seam-carving-omp,4,1,1024x768.png, 0.838558 s
seam-carving-omp,4,2,1024x768.png, 0.829039 s
seam-carving-omp,4,3,1024x768.png, 0.836264 s
seam-carving-omp,4,4,1024x768.png, 0.827699 s
seam-carving-omp,4,0,3840x2160.png, 9.665529 s
seam-carving-omp,4,1,3840x2160.png, 9.485792 s
seam-carving-omp,4,2,3840x2160.png, 9.611988 s
seam-carving-omp,4,3,3840x2160.png, 9.597457 s
seam-carving-omp,4,4,3840x2160.png, 9.608345 s
seam-carving-omp,4,0,test.png, 0.288468 s
seam-carving-omp,4,1,test.png, 0.289257 s
seam-carving-omp,4,2,test.png, 0.289818 s
seam-carving-omp,4,3,test.png, 0.289992 s
seam-carving-omp,4,4,test.png, 0.299428 s
seam-carving-omp,8,0,valve.png, 0.257811 s
seam-carving-omp,8,1,valve.png, 0.266131 s
seam-carving-omp,8,2,valve.png, 0.284480 s
seam-carving-omp,8,3,valve.png, 0.266728 s
seam-carving-omp,8,4,valve.png, 0.263082 s
seam-carving-omp,8,0,720x480.png, 0.310795 s
seam-carving-omp,8,1,720x480.png, 0.309833 s
seam-carving-omp,8,2,720x480.png, 0.312026 s
seam-carving-omp,8,3,720x480.png, 0.308887 s
seam-carving-omp,8,4,720x480.png, 0.312064 s
seam-carving-omp,8,0,7680x4320.png, 22.341542 s
seam-carving-omp,8,1,7680x4320.png, 22.338665 s
seam-carving-omp,8,2,7680x4320.png, 22.374562 s
seam-carving-omp,8,3,7680x4320.png, 22.226265 s
seam-carving-omp,8,4,7680x4320.png, 22.291578 s
seam-carving-omp,8,0,1920x1200.png, 1.522373 s
seam-carving-omp,8,1,1920x1200.png, 1.515995 s
seam-carving-omp,8,2,1920x1200.png, 1.505761 s
seam-carving-omp,8,3,1920x1200.png, 1.509065 s
seam-carving-omp,8,4,1920x1200.png, 1.513107 s
seam-carving-omp,8,0,1024x768.png, 0.628008 s
seam-carving-omp,8,1,1024x768.png, 0.622010 s
seam-carving-omp,8,2,1024x768.png, 0.625984 s
seam-carving-omp,8,3,1024x768.png, 0.622737 s
seam-carving-omp,8,4,1024x768.png, 0.633665 s
seam-carving-omp,8,0,3840x2160.png, 5.531424 s
seam-carving-omp,8,1,3840x2160.png, 5.518434 s
seam-carving-omp,8,2,3840x2160.png, 5.539972 s
seam-carving-omp,8,3,3840x2160.png, 5.551210 s
seam-carving-omp,8,4,3840x2160.png, 5.526196 s
seam-carving-omp,8,0,test.png, 0.265929 s
seam-carving-omp,8,1,test.png, 0.261412 s
seam-carving-omp,8,2,test.png, 0.268369 s
seam-carving-omp,8,3,test.png, 0.273745 s
seam-carving-omp,8,4,test.png, 0.264092 s
seam-carving-omp,16,0,valve.png, 0.319970 s
seam-carving-omp,16,1,valve.png, 0.309776 s
seam-carving-omp,16,2,valve.png, 0.321452 s
seam-carving-omp,16,3,valve.png, 0.319805 s
seam-carving-omp,16,4,valve.png, 0.318877 s
seam-carving-omp,16,0,720x480.png, 0.345174 s
seam-carving-omp,16,1,720x480.png, 0.348934 s
seam-carving-omp,16,2,720x480.png, 0.345046 s
seam-carving-omp,16,3,720x480.png, 0.356653 s
seam-carving-omp,16,4,720x480.png, 0.344927 s
seam-carving-omp,16,0,7680x4320.png, 13.595454 s
seam-carving-omp,16,1,7680x4320.png, 13.363122 s
seam-carving-omp,16,2,7680x4320.png, 13.726779 s
seam-carving-omp,16,3,7680x4320.png, 13.492646 s
seam-carving-omp,16,4,7680x4320.png, 13.587190 s
seam-carving-omp,16,0,1920x1200.png, 1.223965 s
seam-carving-omp,16,1,1920x1200.png, 1.222286 s
seam-carving-omp,16,2,1920x1200.png, 1.220365 s
seam-carving-omp,16,3,1920x1200.png, 1.226398 s
seam-carving-omp,16,4,1920x1200.png, 1.225774 s
seam-carving-omp,16,0,1024x768.png, 0.631452 s
seam-carving-omp,16,1,1024x768.png, 0.624776 s
seam-carving-omp,16,2,1024x768.png, 0.628086 s
seam-carving-omp,16,3,1024x768.png, 0.626527 s
seam-carving-omp,16,4,1024x768.png, 0.631467 s
seam-carving-omp,16,0,3840x2160.png, 3.731573 s
seam-carving-omp,16,1,3840x2160.png,